Boids()
Step 1, 0 has arrived, 0 collisions
Step 2, 0 has arrived, 0 collisions
Step 3, 0 has arrived, 0 collisions
Step 4, 0 has arrived, 0 collisions
Step 5, 0 has arrived, 0 collisions
Step 6, 0 has arrived, 0 collisions
Step 7, 0 has arrived, 0 collisions
Step 8, 0 has arrived, 0 collisions
Step 9, 0 has arrived, 0 collisions
Step 10, 0 has arrived, 0 collisions
Step 11, 0 has arrived, 0 collisions
Step 12, 0 has arrived, 0 collisions
Step 13, 0 has arrived, 0 collisions
Step 14, 0 has arrived, 0 collisions
Step 15, 0 has arrived, 0 collisions
Step 16, 0 has arrived, 0 collisions
Step 17, 0 has arrived, 0 collisions
Step 18, 0 has arrived, 0 collisions
Step 19, 0 has arrived, 0 collisions
Step 20, 0 has arrived, 0 collisions
Step 21, 0 has arrived, 0 collisions
Step 22, 0 has arrived, 0 collisions
Step 23, 0 has arrived, 0 collisions
Step 24, 0 has arrived, 0 collisions
Step 25, 0 has arrived, 0 collisions
Step 26, 0 has arrived, 0 collisions
Step 27, 0 has arrived, 0 collisions
Step 28, 0 has arrived, 0 collisions
Step 29, 0 has arrived, 0 collisions
Step 30, 0 has arrived, 0 collisions
Step 31, 0 has arrived, 0 collisions
Step 32, 0 has arrived, 0 collisions
Step 33, 0 has arrived, 0 collisions
Step 34, 0 has arrived, 0 collisions
Step 35, 0 has arrived, 0 collisions
Step 36, 0 has arrived, 0 collisions
Step 37, 0 has arrived, 0 collisions
Step 38, 0 has arrived, 0 collisions
Step 39, 0 has arrived, 0 collisions
Step 40, 0 has arrived, 0 collisions
Step 41, 0 has arrived, 0 collisions
Step 42, 0 has arrived, 0 collisions
Step 43, 0 has arrived, 0 collisions
Step 44, 0 has arrived, 0 collisions
Step 45, 0 has arrived, 0 collisions
Step 46, 0 has arrived, 0 collisions
Step 47, 0 has arrived, 0 collisions
Step 48, 0 has arrived, 0 collisions
Step 49, 0 has arrived, 0 collisions
Step 50, 0 has arrived, 0 collisions
Step 51, 0 has arrived, 0 collisions
Step 52, 0 has arrived, 0 collisions
Step 53, 0 has arrived, 0 collisions
Step 54, 0 has arrived, 0 collisions
Step 55, 0 has arrived, 0 collisions
Step 56, 0 has arrived, 0 collisions
Step 57, 0 has arrived, 0 collisions
Step 58, 0 has arrived, 0 collisions
Step 59, 0 has arrived, 0 collisions
